stage,iteration,negative_elbo,grad_norm,kl_beta,loglik,nu,omega,u,sigma,alpha_mean,phi_mean,jitter
residual,40,473007.71850487724,9932324.27628979,0.38095238095238093,-471600.9802178488,3.383972244835313,0.8398979369340682,-0.19283509300511514,0.4015681885962853,-0.31523346848395606,0.2880780533580844,1e-08
residual,41,926475.5439814728,20739222.395147987,0.3904761904761905,-925034.4537841233,3.78556908887715,0.7369729146200472,-0.34396993079805416,0.3891796282997229,0.0006010932248841803,0.29911449143025326,1e-08
residual,42,28302.59694080524,424035.07526262297,0.4,-26826.383762110432,3.4393482173448446,0.822547935984618,0.9012605122389475,0.40039964272882733,0.256671394724384,0.24564036694646316,1e-08
residual,43,148909.84812320617,2945243.061727201,0.4095238095238095,-147400.7551796645,4.092583381495195,0.5328568142354082,0.7792201941445428,0.40000617969200436,-0.13883739971479972,0.27905188814247245,1e-08
residual,44,111993.5906852787,2062239.539584855,0.41904761904761906,-110446.32493049289,3.8752153483077176,0.8805997785594643,0.09783222517929513,0.4499229916248227,-0.03182240546536396,0.2689427633349145,1e-08
residual,45,131002.93854484567,2416786.7954638135,0.42857142857142855,-129421.71860378694,4.801168438909476,0.7233323080629821,0.28526753110258485,0.36485671412523324,-0.14700977489387587,0.2692862231391364,1e-08
residual,46,1173931.685555453,26283543.00068759,0.4380952380952381,-1172314.1801631453,3.4949086549163555,0.905464798113367,0.2249554793864782,0.3964938022200979,0.07255512338199821,0.29790699552865746,1e-08
residual,47,66833.23726487035,1094516.8285007495,0.44761904761904764,-65181.98403443776,3.94361125655872,1.1639013236185478,0.017186312690539163,0.4073224305689431,0.2594454770135819,0.2527866897884718,1e-08
residual,48,139023.98545733315,2586750.6027616803,0.45714285714285713,-137336.28584859663,3.088886281433285,1.1610387280954197,0.07460333278841869,0.45489988706909085,-0.1731777761317665,0.2703282229273256,1e-08
residual,49,198964249.99553356,4074060281.17674,0.4666666666666667,-198962528.99026725,3.131914059681078,0.884721910642179,-0.6610834325708907,0.4037323306033977,0.2879835695315199,0.3698239150844411,1e-08
residual,50,1952459.196620357,44851205.689145125,0.47619047619047616,-1950701.4774888544,3.262582816900001,0.969535734085824,0.43171700451500106,0.38419326266964415,-0.17486781923612876,0.30370457504075005,1e-08
residual,51,1244498.235735956,27947912.267823458,0.4857142857142857,-1242705.4979395373,3.1581158085355616,1.1594066378287164,-0.6970605001835763,0.4560041879214442,-0.0061009220730562025,0.2999198354161293,1e-08
