multiplier,RMSE,MAE,CRPS,Coverage,AIW
0.5,14.840551248784545,11.299169794915093,8.969449692142867,0.6065573770491803,23.26954549855019
0.55,14.840551248784545,11.299169794915096,8.848741766236921,0.7049180327868853,25.596500048405215
0.6,14.840551248784545,11.299169794915104,8.744238466393535,0.7213114754098361,27.923454598260236
0.65,14.840551248784543,11.299169794915093,8.652466551977028,0.7540983606557377,30.25040914811525
0.7,14.840551248784545,11.299169794915098,8.573319352160121,0.7540983606557377,32.57736369797027
0.75,14.840551248784545,11.299169794915095,8.506290128370965,0.7540983606557377,34.904318247825294
0.8,14.840551248784541,11.299169794915093,8.450015574185116,0.7868852459016393,37.231272797680305
0.85,14.840551248784548,11.299169794915096,8.404227253761123,0.819672131147541,39.55822734753532
0.9,14.840551248784555,11.299169794915102,8.36906964481137,0.819672131147541,41.885181897390346
0.95,14.840551248784543,11.299169794915096,8.343120866638975,0.8360655737704918,44.21213644724535
1.0,14.840551248784545,11.299169794915095,8.325127454642166,0.8688524590163934,46.53909099710038
1.05,14.840551248784543,11.299169794915096,8.315445235274721,0.8852459016393442,48.86604554695541
1.1,14.840551248784543,11.299169794915095,8.312873195528004,0.8852459016393442,51.19300009681043
1.15,14.84055124878454,11.299169794915096,8.317135571935923,0.9016393442622951,53.51995464666544
1.2,14.840551248784545,11.299169794915102,8.328469193990893,0.9016393442622951,55.84690919652046
1.25,14.840551248784541,11.29916979491509,8.34574263434121,0.9016393442622951,58.173863746375474
1.3,14.840551248784541,11.299169794915093,8.368276671052374,0.9016393442622951,60.50081829623049
1.35,14.840551248784548,11.299169794915098,8.3962010992999,0.9180327868852459,62.827772846085516
1.4,14.840551248784546,11.299169794915104,8.428784732343036,0.9344262295081968,65.15472739594054
1.45,14.840551248784543,11.299169794915095,8.465857415581967,0.9344262295081968,67.48168194579556
1.5,14.840551248784546,11.2991697949151,8.506817177570095,0.9508196721311475,69.80863649565059
1.55,14.840551248784546,11.299169794915096,8.551513122112024,0.9508196721311475,72.13559104550558
1.6,14.840551248784548,11.299169794915098,8.599841771282101,0.9508196721311475,74.46254559536062
1.65,14.840551248784546,11.2991697949151,8.651462671108144,0.9508196721311475,76.78950014521561
1.7,14.84055124878455,11.2991697949151,8.706357508717696,0.9508196721311475,79.11645469507064
1.75,14.84055124878455,11.299169794915102,8.764400707047988,0.9508196721311475,81.44340924492566
1.8,14.840551248784546,11.299169794915098,8.825391402156793,0.9508196721311475,83.77036379478069
1.85,14.840551248784552,11.299169794915098,8.889200767656487,0.9672131147540983,86.09731834463572
1.9,14.840551248784553,11.299169794915104,8.955965320650638,0.9672131147540983,88.4242728944907
1.95,14.84055124878454,11.299169794915091,9.025242698300275,0.9672131147540983,90.75122744434574
2.0,14.840551248784545,11.299169794915096,9.096879861206077,0.9672131147540983,93.07818199420076
2.05,14.840551248784545,11.299169794915095,9.170971500427257,0.9836065573770492,95.40513654405576
2.1,14.840551248784548,11.2991697949151,9.247438543843668,0.9836065573770492,97.73209109391081
2.15,14.840551248784541,11.299169794915096,9.325890060470705,0.9836065573770492,100.0590456437658
2.2,14.840551248784545,11.299169794915098,9.406344871492921,0.9836065573770492,102.38600019362086
2.25,14.840551248784546,11.299169794915095,9.488683883284075,0.9836065573770492,104.71295474347586
2.3,14.840551248784543,11.299169794915102,9.5728501295386,0.9836065573770492,107.03990929333085
2.35,14.84055124878455,11.2991697949151,9.658604067356722,0.9836065573770492,109.36686384318588
2.4,14.840551248784543,11.299169794915096,9.745724792264177,0.9836065573770492,111.69381839304093
2.45,14.84055124878455,11.299169794915102,9.834157714541908,0.9836065573770492,114.02077294289595
2.5,14.840551248784537,11.299169794915091,9.923990713252481,0.9836065573770492,116.34772749275095
2.55,14.840551248784546,11.299169794915093,10.015224170279183,0.9836065573770492,118.67468204260598
2.6,14.840551248784552,11.2991697949151,10.107552174764578,0.9836065573770492,121.001636592461
2.65,14.840551248784545,11.299169794915098,10.200978937008976,0.9836065573770492,123.328591142316
2.7,14.840551248784548,11.299169794915102,10.295606795834132,0.9836065573770492,125.65554569217105
2.75,14.84055124878455,11.299169794915104,10.391238481718002,0.9836065573770492,127.98250024202605
2.8,14.840551248784552,11.299169794915105,10.487782069982607,0.9836065573770492,130.30945479188105
2.85,14.840551248784548,11.299169794915104,10.585354547304982,0.9836065573770492,132.6364093417361
2.9,14.840551248784545,11.299169794915102,10.684004632400212,0.9836065573770492,134.96336389159111
2.95,14.84055124878455,11.299169794915102,10.783463910160968,0.9836065573770492,137.29031844144615
3.0,14.840551248784546,11.299169794915096,10.883826910040051,0.9836065573770492,139.61727299130118
