stage,iteration,negative_elbo,grad_norm,kl_beta,loglik,phi,sigma,jitter
joint,36,31355734.32711478,795663798.7626616,0.2,-31355249.942266397,0.3467085494708581,0.4683588024758285,1e-08
joint,37,2763034.843809664,66010877.8132623,0.20555555555555555,-2762537.0715769273,0.3126909688857512,0.4456672384441035,1e-08
joint,38,14267009.529266406,366468939.8071421,0.2111111111111111,-14266498.113575757,0.3335010780811233,0.4537049421837401,1e-08
joint,39,104108848.25023863,2278907591.0267243,0.21666666666666667,-104108323.4670196,0.36700023275999777,0.5058548572259353,1e-08
joint,40,1246954766.3073816,13690927031.85193,0.2222222222222222,-1246954228.8131053,0.43355659320666107,0.49479811281088115,1e-08
joint,41,1240143.4414822236,28648438.422033075,0.22777777777777777,-1239591.5960053646,0.3038668339763107,0.4850811600634496,1e-08
joint,42,39585109.4427708,1002732981.1331416,0.23333333333333334,-39584544.02606141,0.3481088572925746,0.424622027991189,1e-08
joint,43,5694624.453271616,141495492.51402104,0.2388888888888889,-5694045.378914537,0.32258682725369786,0.44543060768972764,1e-08
joint,44,21291294.319166444,547080090.0880808,0.24444444444444444,-21290701.812943455,0.34464143108182954,0.5258842259729917,1e-08
joint,45,14570496.545098068,370042678.40642387,0.25,-14569890.66188559,0.3336532896718296,0.40581740538559447,1e-08
joint,46,218425834.07920852,4040425245.472055,0.25555555555555554,-218425214.4660288,0.3784113228346352,0.466272286143569,1e-08
joint,47,39098855.48461707,983437802.5579873,0.2611111111111111,-39098222.212395735,0.3524920149205557,0.5130174204809959,1e-08
joint,48,653149403.309961,8486736201.433442,0.26666666666666666,-653148757.3207778,0.4137728992472757,0.5262106332248578,1e-08
joint,49,156265581.4439318,2987827632.7804337,0.2722222222222222,-156264921.2518572,0.3761346921165259,0.521119447495286,1e-08
joint,50,4265592.3902169,105830138.04865551,0.2777777777777778,-4264918.249294856,0.32195511735845594,0.4940362020778076,1e-08
joint,51,137550814.00653386,2883139533.6660786,0.2833333333333333,-137550126.4015876,0.3708754336257773,0.4854401242289156,1e-08
joint,52,69709140.72397879,1680295984.963017,0.28888888888888886,-69708439.38434197,0.357634142905868,0.4662100950335824,1e-08
joint,53,5059404.083362668,126244845.12283437,0.29444444444444445,-5058689.1640630765,0.3257489782704048,0.5093949137094788,1e-08
joint,54,4173056.235705432,101955245.84583125,0.3,-4172327.6737632374,0.3199971083268818,0.45272267724480436,1e-08
joint,55,73125708.98484263,1745293005.8916337,0.3055555555555556,-73124966.85594413,0.3590958363021406,0.4543915074064856,1e-08
joint,56,529870.1919010547,11995776.371927418,0.3111111111111111,-529117.0219641202,0.30215449069392625,0.6660491284967865,1e-08
joint,57,6341292.701224147,158534365.52060154,0.31666666666666665,-6340523.326085254,0.3240321725639641,0.43911056026787093,1e-08
joint,58,179328380.61964568,3367156728.504141,0.32222222222222224,-179327597.8427304,0.37760560800324644,0.49957228662674275,1e-08
joint,59,3594320.749666882,87824184.80133933,0.3277777777777778,-3593524.0009305645,0.31868386019626366,0.46586259745293757,1e-08
joint,60,228625955.88970602,4400593288.929366,0.3333333333333333,-228625145.9705075,0.37805789463361916,0.4406805540402984,1e-08
joint,61,225945379.37047553,4168383093.6201982,0.3388888888888889,-225944555.77329183,0.3802786704369918,0.45190200404395403,1e-08
joint,62,8234789.429192006,209774300.51827213,0.34444444444444444,-8233951.833261047,0.3328855024676082,0.519256196992731,1e-08
joint,63,24458183.57162599,621831628.4297554,0.35,-24457332.31153552,0.3464456283119498,0.514077549944937,1e-08
joint,64,181285235.08978644,3455153688.106441,0.35555555555555557,-181284370.459399,0.3779739251760814,0.4995178464551086,1e-08
joint,65,5232394.3348423075,130655391.52236405,0.3611111111111111,-5231515.565080636,0.3249048868471574,0.4778676121653171,1e-08
joint,66,10449097.256157974,267350196.96607578,0.36666666666666664,-10448204.786306484,0.33384928314898954,0.4734650118266045,1e-08
joint,67,532492363.75870717,7250434414.30496,0.37222222222222223,-532491458.7242502,0.40433508241735105,0.5064416032912944,1e-08
joint,68,194928152.97636828,3790097793.6170025,0.37777777777777777,-194927233.72016248,0.37510687688514305,0.44046112040874497,1e-08
joint,69,72789590.296637,1638240594.1573436,0.38333333333333336,-72788657.48913978,0.36571965854315613,0.5513771785446163,1e-08
joint,70,1438264.584793068,33271486.32441274,0.3888888888888889,-1437317.4518935408,0.30669000761992254,0.46804787567768535,1e-08
joint,71,2285104.8080048366,55172004.951559715,0.39444444444444443,-2284144.167742376,0.31580017486381584,0.5378008893599859,1e-08
joint,72,3520006.403991738,86426682.6531699,0.4,-3519031.6687856033,0.3202428066870117,0.48519277000610606,1e-08
joint,73,829990.8928936555,18762125.171895105,0.40555555555555556,-829002.7720990435,0.2991405953600097,0.4571943351937378,1e-08
joint,74,102805625.29833084,2247019933.2426443,0.4111111111111111,-102804623.44037664,0.3670821628333336,0.4941373899877531,1e-08
joint,75,299263658.3443578,4630568815.646648,0.4166666666666667,-299262644.06015736,0.39769372781395296,0.556313799260795,1e-08
joint,76,143732866.27691814,3044350342.9677634,0.4222222222222222,-143731837.10096127,0.36935780985362787,0.4541719268793417,1e-08
joint,77,84985814.46707779,2071372261.8338532,0.42777777777777776,-84984771.84898834,0.3587306883587602,0.42046110001864545,1e-08
joint,78,905698.8824289824,20252973.390276197,0.43333333333333335,-904641.9100037985,0.30133805825668164,0.48474249694627625,1e-08
joint,79,6444265.242261675,162710842.72398588,0.4388888888888889,-6443194.293080859,0.32923679131066924,0.49571717709462054,1e-08
joint,80,6213587.210262724,157068683.49608564,0.4444444444444444,-6212502.694699994,0.3295724750893872,0.526022765855739,1e-08
joint,81,15303721.380440641,393361644.3914915,0.45,-15302622.942270529,0.3387059637373911,0.47655318045147527,1e-08
joint,82,16399020.263700955,422175769.9093993,0.45555555555555555,-16397908.09781232,0.3401271103951711,0.4706684900046951,1e-08
joint,83,5288263.84664225,131511245.36062399,0.46111111111111114,-5287138.3130497215,0.32263466974695365,0.4313419579139845,1e-08
joint,84,58691327.94345249,1393008747.681198,0.4666666666666667,-58690188.923271224,0.3612771962570517,0.5451282846723663,1e-08
joint,85,327832.8485488467,6832300.773864997,0.4722222222222222,-326679.86451043386,0.2872268045179042,0.48153791629891474,1e-08
joint,86,10238306.865147071,263392296.42505634,0.4777777777777778,-10237139.811871327,0.3376741590699031,0.5310217154821708,1e-08
joint,87,19477812.76230139,505406828.3107279,0.48333333333333334,-19476631.73999219,0.34300535508712343,0.49973901275856203,1e-08
joint,88,147387140.52898872,2939989817.8343678,0.4888888888888889,-147385946.26973882,0.3733902716083797,0.48088473265160586,1e-08
joint,89,860690.65916198,19503695.350633673,0.49444444444444446,-859482.2362864476,0.3020567323764738,0.5159805774653531,1e-08
joint,90,4337244.490962284,107769479.28819206,0.5,-4336022.047753421,0.32127748972100745,0.4652500585268237,1e-08
joint,91,124232.84904971247,2416991.713752111,0.5055555555555555,-122998.07771685449,0.27819416510498873,0.560326314954974,1e-08
joint,92,583405.028687376,12729003.100336798,0.5111111111111111,-582155.2270292689,0.2957529079688993,0.48179997448363626,1e-08
joint,93,1316872.4248609038,30530524.75437141,0.5166666666666667,-1315608.5676356906,0.3082667257339493,0.48853506670826474,1e-08
joint,94,62590999.80660437,1521118906.5158575,0.5222222222222223,-62589722.703021094,0.35809234824689407,0.448561883243752,1e-08
joint,95,22977617.403279375,586431351.5400271,0.5277777777777778,-22976326.2266819,0.34831105523984907,0.5313901346873858,1e-08
joint,96,8237973.347633387,209038285.21094424,0.5333333333333333,-8236667.929810737,0.33195913089980594,0.4809140923116743,1e-08
joint,97,3135308.0876301145,77397342.17819245,0.5388888888888889,-3133988.8027710863,0.3196319402435907,0.5039084583724655,1e-08
joint,98,55053510.861325525,1308932185.2727852,0.5444444444444444,-55052178.84688333,0.3622733704619355,0.559636175851585,1e-08
joint,99,273725.0472899247,5726372.593828774,0.55,-272378.9353190666,0.28765134701574907,0.5430037297485846,1e-08
joint,100,10251409.268336682,263559762.97871554,0.5555555555555556,-10250048.467988908,0.33657003300231597,0.5055690624791401,1e-08
joint,101,27885607.981915113,713701298.0793161,0.5611111111111111,-27884233.466399994,0.3481154294185178,0.48548767697291206,1e-08
joint,102,18632448.039251678,482517810.09714085,0.5666666666666667,-18631059.568412356,0.3418153381302464,0.48154014154059793,1e-08
