model,seed,objective,max_fit_jitter,alpha_init_median,alpha_init_sd
Adaptive NSST-BNF,222,4370.420461309313,1e-08,-0.1129855166192451,0.7672163499737865
Adaptive NSST-BNF,111,4725.524946085879,1e-08,-0.4869656990881084,0.5396965259587168
Adaptive NSST-BNF,333,4907.113518407799,1e-08,-0.4311790082754506,0.7133183500310515
