Model,best_seed,multiplier,n_fit,n_cal,n_test,max_fit_jitter,max_calibration_prediction_jitter,max_test_prediction_jitter,Raw_RMSE,Raw_MAE,Raw_CRPS,Raw_Coverage,Raw_AIW,Cal_RMSE,Cal_MAE,Cal_CRPS,Cal_Coverage,Cal_AIW,AlphaMean,AlphaSD,AlphaMin,AlphaMax,PhiMean,PhiSD,PhiMin,PhiMax
Gaussian BNF,333,1.5,219,61,94,1e-08,1e-08,1e-08,12.880517179258815,9.450313432227498,6.909631669103431,0.9042553191489362,46.093027308677634,12.880517179258812,9.450313432227494,7.225155434303895,0.9893617021276596,69.13954096301646,,,,,,,,
Adaptive NSST-BNF,222,2.2,219,61,94,1e-08,1e-08,1e-08,10.508164535186577,8.271503244109164,6.00354136898526,0.8297872340425532,29.394668912378368,10.508164535186571,8.271503244109168,6.310531259411071,0.9787234042553192,64.66827160723243,-0.0810371374055525,0.4012538213502558,-1.0103117925960186,0.3383613855486599,0.2043451160650516,0.042058478408405,0.1748148641092515,0.3899935058545454
