Scenario,PriorSetting,N,RMSE_mean,RMSE_sd,CRPS_mean,CRPS_sd,Coverage_mean,Coverage_sd,AIW_mean,AIW_sd,Alpha_RMSE_mean,Alpha_RMSE_sd,Delta_RMSE_mean,Delta_RMSE_sd,Phi_RMSE_mean,Phi_RMSE_sd,Corr_OffDiag_R_mean,Corr_OffDiag_R_sd
4,baseline,5,0.3303086407071109,0.17454692761446966,0.15616578002604,0.060444594566030255,0.9875,0.02795084971874737,1.451117578069828,0.3215057481657985,1.475939036284579,0.07639323594054954,0.693915484865053,0.026846644263775195,0.901074578259983,0.052009020864879664,0.6019010632264779,0.03189458581083084
4,strong,5,0.31365412505289203,0.16949187547943567,0.15328907868392755,0.06426709717694884,1.0,0.0,1.5967938503834969,0.36870089222915403,1.4787171049717973,0.07202647523170636,0.6958069039990475,0.023851705521745124,0.9043348813646137,0.0517822612924446,0.5985950375479107,0.033101612357356126
4,weak,5,0.35368430776907794,0.1724749314800609,0.16637116134849808,0.058975032263819116,0.9625,0.03423265984407289,1.4198137151377075,0.2597990983416779,1.4762164784449712,0.07243955698138335,0.6949548790736702,0.024464491185142816,0.9027833333658087,0.05567188815138705,0.5997260290089215,0.03960238206590825
5,baseline,5,0.5242575332596562,0.38846541394273054,0.280491943573009,0.20833180796655326,0.925,0.10269797953221864,1.9764987484110808,1.016895741881126,1.9046377678358997,0.15735914411875024,0.7443516800037885,0.0337625010099196,1.1892238286440715,0.06739426162439846,0.5179109127536734,0.09327626879769077
5,strong,5,0.5354260285814935,0.4259012593667767,0.28400690989070465,0.2178959324752774,0.9375,0.08838834764831845,2.1761594986557653,1.1629790789887255,1.9015191914153384,0.15875633132495962,0.7423709305450116,0.030769649518365222,1.1996970781479948,0.07113302377233172,0.5158783676841537,0.07536068567970891
5,weak,5,0.5467410871923514,0.3831337647655523,0.2940836690351135,0.21761743547690052,0.9,0.13693063937629152,1.9240526531545492,1.0390945982744624,1.9022364534870533,0.16222206312855647,0.7420558488249409,0.033780223966652534,1.1860317152895317,0.06031804007564009,0.510519808757635,0.10065586135144364
