Scenario,Replication,Model,RMSE,MAE,CRPS,Coverage,AIW,FitSeconds,IterationsUsed,EarlyStopped,final_negELBO,tail_negELBO_mean,tail_negELBO_sd,tail_slope,tail_relative_slope,tail_cv,tail_grad_median,tail_grad_p90,tail_n,Alpha_RMSE,Alpha_R2,Delta_RMSE,Delta_R2,Phi_RMSE,Phi_R2,Corr_Frobenius_RelErr,Corr_OffDiag_R
1,1001,Gaussian Neural Model,0.3490969226424689,0.169733528175415,0.1409926166408356,1.0,1.527974640566604,3.729842463999944,600,1,1583.9512477236246,1598.7840426107095,24.5862357326304,-0.139965867909674,-8.754519946366168e-05,0.0153780842673927,142.52573770529335,435.4018456905084,300,,,,,,,,
1,1001,Proposed Adaptive NSST-BNF,0.1768634480277248,0.1011806319002993,0.0920130274484519,1.0,1.500423703442579,15.73443991899967,800,1,2134.5181206806155,2167.7752062381755,28.522376537540985,-0.2692089072782092,-0.0001241867267895,0.0131574419965052,105.07595560696856,246.97574141696387,300,,,,,,,,
1,1001,Sparse Variational GP,0.2084555341832036,0.1236053346390813,0.1283933935272571,1.0,1.65930007662315,2.4808629819999624,900,1,60.22745283598864,61.31292648650083,1.0036864294900545,-0.0111207145059985,-0.0001813763449775,0.0163698992529906,3.698558804760929,6.749708659250396,300,,,,,,,,
1,1001,Stationary Skew-t Neural Model,0.3086715434724695,0.1498122362154513,0.1289095855696043,1.0,1.3814663266506677,4.540976172000001,600,1,1579.8930784642423,1593.9992669691042,16.285057056007247,-0.1324075791635723,-8.306627355942105e-05,0.0102164771298623,127.1937838272583,412.6961455851925,300,,,,,,,,
1,1002,Gaussian Neural Model,0.097636835421881,0.0777688569829784,0.1210765208887224,1.0,1.8686679668684785,2.5069863009999835,500,1,1592.356208072743,1625.421672104692,32.67137094746904,-0.2913466305929543,-0.0001792437221633,0.0201002432219106,222.97947252093505,1163.8486997386135,300,,,,,,,,
1,1002,Proposed Adaptive NSST-BNF,0.0758138410638441,0.0608648361847537,0.0764070656138792,1.0,1.1613815752310326,15.45268787399982,800,1,2184.249586647851,2213.361469821329,26.89815478409789,-0.2514175152197402,-0.0001135908068554,0.0121526262884973,127.41312192140498,608.2765455839191,300,,,,,,,,
1,1002,Sparse Variational GP,0.263017750314362,0.198994293091526,0.1495015962112031,1.0,1.6481736336691646,2.645074831999977,900,1,66.0932803392829,66.73204659104957,0.5383534340766039,-0.0060628280175147,-9.085332051434254e-05,0.008067389831092,2.592478708615645,3.060558297567859,300,,,,,,,,
1,1002,Stationary Skew-t Neural Model,0.0986201604890908,0.0781461721210316,0.1250691214616019,1.0,1.8748245169555,4.344427918000065,600,0,1609.3315212927905,1627.0298356493363,53.08305162910144,-0.1151941562398517,-7.080027281360732e-05,0.032625739532254,207.51257271945235,1407.2451889762194,300,,,,,,,,
1,1003,Gaussian Neural Model,0.471835235550651,0.2434190166525629,0.2248567209887717,0.9375,2.195087657206692,2.7041241390001005,500,1,1828.200731802364,1856.6710510863652,47.045595922680825,-0.2647997859438374,-0.0001426207328373,0.0253386812355122,746.6353536732798,3312.0908105763265,300,,,,,,,,
1,1003,Proposed Adaptive NSST-BNF,0.4558542616998303,0.2407102056344664,0.1772105110364421,1.0,1.6033239962523849,15.675222200999997,800,1,2435.563610488386,2472.074681057752,32.075547618067574,-0.207049273268349,-8.375526631734143e-05,0.0129751531633919,546.1401091261894,2283.1784811479047,300,,,,,,,,
