Scenario,Model,N,RMSE_mean,RMSE_sd,RMSE_se,RMSE_median,RMSE_iqr,MAE_mean,MAE_sd,MAE_se,MAE_median,MAE_iqr,CRPS_mean,CRPS_sd,CRPS_se,CRPS_median,CRPS_iqr,Coverage_mean,Coverage_sd,Coverage_se,Coverage_median,Coverage_iqr,AIW_mean,AIW_sd,AIW_se,AIW_median,AIW_iqr,Iterations_mean,Iterations_sd,Iterations_median,EarlyStop_frac,TailCV_mean,TailRelSlopeAbs_mean
3,Sparse Variational GP,40,0.3831364044853254,0.15744707663750426,0.024894568655479923,0.37542012443782946,0.1504733643626293,0.29404062630209354,0.11220892083702569,0.017741788181726423,0.2780224730540487,0.11364804352854846,0.21574203390363617,0.07929331995036187,0.01253737471398065,0.2099699950412237,0.07935950745420028,0.9796875,0.03577076006518488,0.005655853772068867,1.0,0.0625,1.7955791185126195,0.492050695861435,0.07780004615964607,1.723811356959312,0.7012998151103196,870.0,111.40133037920333,900.0,0.875,0.012212024663047953,0.0001364970063040759
3,Stationary Skew-t Neural Model,40,0.31038215516825457,0.1247188023786822,0.01971977412825308,0.2893002927754397,0.19898395672342034,0.21501550197567454,0.08887117274094293,0.014051766209582442,0.20201480456622312,0.10531702779565044,0.1633734314054654,0.0610037628930424,0.009645541829143836,0.151384967214218,0.06969734265729531,0.971875,0.04683491876137521,0.007405250865744886,1.0,0.0625,1.464352735018993,0.37972751462939475,0.06004019182318982,1.4747171205415657,0.5127183146366823,517.5,63.59930655967717,500.0,0.975,0.02605825796398107,0.00016542681636420558
4,Gaussian Neural Model,40,0.5310058534779903,0.44860018571387056,0.07092991728151794,0.41999422105587725,0.24078100686538567,0.3933695732666284,0.3587642551587327,0.05672560946777044,0.28933751124297213,0.21593385909322838,0.3017619731454683,0.2931199194551893,0.04634632865217499,0.2161571686963569,0.13548955898651666,0.9078125,0.16321802657402137,0.02580703595858983,0.9375,0.125,1.7525497272912276,0.3876422684510579,0.061291624282988705,1.7619877052191952,0.4772861786839546,560.0,54.53768398418633,600.0,0.575,0.055214084013984276,0.00012889141660439425
4,Proposed Adaptive NSST-BNF,40,0.47923264726563863,0.3261698625843674,0.051571983493536755,0.41088559074650677,0.269634572777876,0.3536141446789983,0.2773161544510087,0.043847534001211434,0.276454215254546,0.21732668122763177,0.25657840166224677,0.20026374090102436,0.031664477699652895,0.1965542841793137,0.13029600883996975,0.971875,0.05996459959949875,0.009481235685721831,1.0,0.0625,1.9961369668462214,0.8180157245574518,0.12933964257172398,1.956922301664357,1.0665128433561593,785.0,76.96152885095853,800.0,0.975,0.020766439539266233,0.0001224973323668268
4,Sparse Variational GP,40,0.4973209819011636,0.2618709424067407,0.04140543155100382,0.46217714528239895,0.29789079274367725,0.37818232777864474,0.19340138982525817,0.0305794447244965,0.3494665680764958,0.2569388727878703,0.2745625596697506,0.1406415846382533,0.022237387059611435,0.24060460486773344,0.16504343411472092,0.9765625,0.044052298100652115,0.006965279908138505,1.0,0.0625,2.233781888957226,1.0520001368785608,0.16633582656725748,2.0193062835643163,1.4330516091839556,805.0,144.9137674618944,800.0,0.85,0.015159501652747636,0.0001685286064363759
4,Stationary Skew-t Neural Model,40,0.5261037384610933,0.4398098548668844,0.06954004393837228,0.42851664934119704,0.22971006754477952,0.391105195575963,0.35330548132520806,0.055862501540487094,0.2837031522306501,0.2011095261444304,0.3006351864262595,0.29132091064374976,0.046061880383431925,0.21628967480537986,0.13390975400605476,0.9125,0.16794382455192633,0.02655425022718972,0.96875,0.125,1.7657506167220334,0.37849597434194404,0.05984546820625968,1.803384280003709,0.5137400983135156,560.0,59.052345314809365,600.0,0.55,0.055612274026734874,0.0001336180071163034
5,Gaussian Neural Model,40,0.46419505284746193,0.1894623912385864,0.029956634362793153,0.4588870336362474,0.2755372807570581,0.343755788635444,0.15171256202840272,0.02398786228346637,0.3351423775620539,0.20532849687230517,0.2558843905839622,0.1037054314105324,0.016397268449382538,0.23972994706237385,0.1416050223637138,0.9390625,0.07554224387039585,0.011944277509517223,0.9375,0.0625,1.775985648973298,0.3055612104569698,0.04831346948210421,1.7798740525335646,0.3517867267986341,555.0,67.7476463778897,600.0,0.675,0.0411661136301642,0.00012491913082114564
5,Proposed Adaptive NSST-BNF,40,0.44064442318005226,0.192608747017329,0.030454116892296122,0.4419742246087049,0.3120382862367529,0.31930181819985115,0.1450970447361146,0.022941857156273355,0.30659611874044423,0.20368621901449763,0.22837692910187438,0.1007918402356547,0.01593658923522356,0.21421778360914956,0.1465683186935389,0.9515625,0.05918703378231348,0.009358291735072053,1.0,0.078125,1.7902127286568983,0.713823736431705,0.1128654427507951,1.5552809662077096,0.9661751870730897,790.0,90.01424388708769,800.0,0.975,0.019466909665041603,0.00011340626746286225
5,Sparse Variational GP,40,0.43551417496735717,0.1572953806049915,0.02487058340674236,0.40295097848395695,0.21380178939272532,0.33385464836507844,0.12710371932172274,0.020096862606769787,0.3111898830242352,0.17042613857569228,0.23774773625244752,0.08678669364639263,0.013722181125893221,0.21803826932716508,0.13022519016756162,0.9828125,0.03463263014142617,0.005475899630455301,1.0,0.0,1.956103151733887,0.6824128588627062,0.10789894692965865,1.8128512724294323,0.8358006294090581,790.0,144.6481141359158,800.0,0.925,0.012768293763790253,0.00014054962112544574
5,Stationary Skew-t Neural Model,40,0.46857007644425985,0.18843421163239227,0.02979406489282773,0.4661058055301241,0.26363821443286783,0.3454066225109063,0.15274661896674768,0.02415136104123989,0.3414840162065427,0.17914746960202127,0.25756552252198867,0.1021027961767231,0.016143869569518843,0.24333830670437265,0.13007361294324224,0.9328125,0.0792941365811738,0.012537503834649308,0.9375,0.078125,1.8016924397834688,0.31803504297725654,0.05028575557788344,1.7966260849357223,0.3338061874698597,560.0,54.53768398418633,600.0,0.625,0.042971311525779585,0.0001246082178761823
