Scenario,Replication,Model,RMSE,MAE,CRPS,Coverage,AIW,FitSeconds,IterationsUsed,EarlyStopped,final_negELBO,tail_negELBO_mean,tail_negELBO_sd,tail_slope,tail_relative_slope,tail_cv,tail_grad_median,tail_grad_p90,tail_n,Alpha_RMSE,Alpha_R2,Delta_RMSE,Delta_R2,Phi_RMSE,Phi_R2,Corr_Frobenius_RelErr,Corr_OffDiag_R,PriorSetting,PriorMultiplier,MeanPriorSD,AlphaPriorSD,RangePriorSD
4,3005,Proposed Adaptive NSST-BNF,0.2259003769582132,0.1504614387896592,0.1137423265995614,0.9375,0.996400754309278,14.989391370000249,700,1,3016.258006526051,3071.4191717717345,57.59996968258954,-0.2354848579594362,-7.666972327440339e-05,0.0187535358937553,608.9617714672665,2849.7753521219515,300,1.485273143736673,-0.0047624250483782,0.7088602746240135,-0.0163366117615868,0.8689965234236673,-3.835996040212152,0.7277561750568736,0.643072393674813,weak,2.0,0.7,1.0,0.7
5,3001,Proposed Adaptive NSST-BNF,0.7119558856710584,0.5668808846574753,0.4080180686023664,0.8125,2.851221291676639,17.733453479999753,900,1,2114.2294477384053,2153.026200681545,44.21944809095113,-0.2672531597819869,-0.000124129079199,0.0205382768110083,234.5123670666278,583.7335745677445,300,1.765025724421713,-0.0306166325965546,0.7171024795589662,-0.0497354381318395,1.1899774213758818,-4.353871785069727,0.8265435372116373,0.53789290450271,strong,0.5,0.175,0.25,0.175
5,3002,Proposed Adaptive NSST-BNF,0.3931482206432725,0.3527161271253017,0.2229890274716837,1.0,2.181559265358638,15.742588672999773,900,1,1429.8986975986445,1440.3198689182009,27.54345519906979,-0.1442621980795375,-0.0001001598333763,0.0191231515953169,95.20526111548875,272.53963564792986,300,1.801431280351766,-0.0005238639384774,0.7336765786821781,-0.0053977206260236,1.2660972599768097,-4.494101290872861,0.8210141356322246,0.4665042293425739,strong,0.5,0.175,0.25,0.175
5,3003,Proposed Adaptive NSST-BNF,1.194201293589164,0.8513800001143548,0.5991313411669685,0.875,3.709763210113005,21.885569795000265,1000,0,2065.831516389734,2136.443462698436,86.30403680264507,-0.1382295923040458,-6.470079584013647e-05,0.0403961248259004,323.9360341539996,1590.3729652331926,300,1.8828223782205695,-0.0251069186410988,0.730855560614902,-0.0013942482035604,1.2735798048327407,-5.844986855454232,0.8462512852758093,0.4110341045384202,strong,0.5,0.175,0.25,0.175
5,3004,Proposed Adaptive NSST-BNF,0.193004252115043,0.1330625724917362,0.0915796350071714,1.0,0.7940260502124513,15.162347871999827,800,1,2049.128700208108,2109.5330871618444,53.86002266779685,-0.53340931464947,-0.0002528565766025,0.0255317268999368,246.1388324336946,552.6099887982241,300,1.8890990385392077,-0.0686995136447585,0.7342371881679498,-0.071983856038357,1.1640307671860282,-4.670004923203802,0.7394285945618557,0.5876032878766538,strong,0.5,0.175,0.25,0.175
5,3005,Proposed Adaptive NSST-BNF,0.1848204908889295,0.1317230394519166,0.098316477205333,1.0,1.3442276759180922,14.939693301999796,900,1,1578.7845208019949,1579.797539625413,21.465347331243358,-0.2014049255702443,-0.000127487808101,0.0135874039507195,158.29482460233112,245.10518897906545,300,2.169217535543436,-0.0032578480987264,0.7959828457010617,-0.0018551541336038,1.1048001373685128,-3.3077372303369943,0.7286704871805341,0.5763573121604108,strong,0.5,0.175,0.25,0.175
5,3001,Proposed Adaptive NSST-BNF,0.7017400637310738,0.5618867847723361,0.3984557875042533,0.8125,2.821285935201088,33.04770691700014,800,1,2376.4633481396504,2417.7402643091486,38.7085683294779,-0.2706830275932084,-0.0001119570334287,0.0160102261193629,110.28754303790944,528.1907248334161,300,1.761444544497944,-0.0264386999329284,0.7127292798780843,-0.0369710013247583,1.1738162750688048,-4.209436848095644,0.7978402043760486,0.5643261408625484,baseline,1.0,0.35,0.5,0.35
5,3002,Proposed Adaptive NSST-BNF,0.3892738672736104,0.3512440932449764,0.228162421336732,1.0,2.0268215197553374,18.21616840300021,800,1,2165.584882141224,2188.3084189677907,33.43124828889085,-0.2419900606506235,-0.0001105831602863,0.0152772104695644,69.63484056100914,263.4001412266457,300,1.8060739267327968,-0.0056876070042766,0.7328382132945552,-0.0031013162085988,1.2551701001116395,-4.399675914939101,0.8038507542555282,0.4799997940009528,baseline,1.0,0.35,0.5,0.35
5,3003,Proposed Adaptive NSST-BNF,1.1174277199293323,0.7903717306855025,0.5805349094952602,0.8125,3.0764973997700054,15.117176671999914,800,1,2456.006219076107,2492.412164263574,54.53675202958996,-0.3501579403536429,-0.0001404895808864,0.0218811129280873,315.6713200919977,1185.8324410665211,300,1.9017491718987216,-0.0458199770547107,0.7419070673035448,-0.0319080434340888,1.2604048019115166,-5.704098537775337,0.8252946850570242,0.3714053070769779,baseline,1.0,0.35,0.5,0.35
5,3004,Proposed Adaptive NSST-BNF,0.203929921111224,0.1284611786009938,0.0917795985898802,1.0,0.6473695559579937,13.526906890999726,800,1,2394.239774395121,2431.0536068157908,41.772152052044135,-0.2233174389912751,-9.186035156327864e-05,0.0171827358865843,383.84402157828,1562.4116828058989,300,1.8875074205589035,-0.0668994547030406,0.732628707780738,-0.0672922485381819,1.1518913076956765,-4.552358748804225,0.7182750800340528,0.5974975942630856,baseline,1.0,0.35,0.5,0.35
5,3005,Proposed Adaptive NSST-BNF,0.2089160942530405,0.1433730801045034,0.1035270009389191,1.0,1.3105193313709795,11.550797612000224,800,1,2131.315536977664,2160.972853710977,25.316260239446454,-0.2629549156679151,-0.0001216835811779,0.0117152143748458,94.49324990103568,266.04024320384315,300,2.166413775491132,-0.0006660597072012,0.8016551317620196,-0.01618475258195,1.1048366584327207,-3.308022034335385,0.7287410784831571,0.576325727564802,baseline,1.0,0.35,0.5,0.35
5,3001,Proposed Adaptive NSST-BNF,0.739816338873952,0.5610916558045951,0.4051238955381244,0.75,2.471058418324797,11.608971393000049,600,1,3008.279531895724,3091.1391216092925,78.80694804604582,-0.7102735933787292,-0.0002297772974413,0.025494468202718,139.50083264471036,762.2949788247212,300,1.749949577375448,-0.013085591383551,0.7017649554744558,-0.0053117625044378,1.177738892460707,-4.244312444681196,0.8052678467766896,0.5590316416699549,weak,2.0,0.7,1.0,0.7
5,3002,Proposed Adaptive NSST-BNF,0.3888359343325084,0.3497517964652584,0.2229254526550332,1.0,1.9473346834795744,13.105861559000004,700,1,2922.547624565084,2951.8731073486274,38.33459091151405,-0.2704566966925351,-9.16220605889998e-05,0.0129865307611227,70.21463076993555,356.80267870979566,300,1.8009685466979195,-9.920824422637864e-06,0.7371300949468279,-0.0148850872456267,1.2596874219025804,-4.438612417433886,0.8107202215038991,0.4733869984347492,weak,2.0,0.7,1.0,0.7
5,3003,Proposed Adaptive NSST-BNF,1.1253221474382786,0.7916521970599983,0.618270786279569,0.75,3.3143254415780423,14.319194029999837,800,1,3028.5078705950136,3045.5184921908854,29.992020616198676,-0.2188921738208838,-7.187353299024532e-05,0.0098479193914278,386.1741605899115,1054.8446653771905,300,1.90072193015331,-0.0446904697496886,0.7410551031864251,-0.0295394345297785,1.232334043057279,-5.408806847603149,0.8180652893856809,0.351177233625277,weak,2.0,0.7,1.0,0.7
5,3004,Proposed Adaptive NSST-BNF,0.2094307347964217,0.1390061545296324,0.0938074292271954,1.0,0.6571056132557306,14.818470715999863,600,1,3068.296833746455,3095.0869995415405,72.83805047183158,-0.4805879312052172,-0.0001552744498866,0.0235334420268705,695.6914622860795,3260.333080392089,300,1.8896193313585652,-0.0692882739405922,0.7347690703226513,-0.0735375109277407,1.1486472058237769,-4.521128279632072,0.7124409738269742,0.5996261258856558,weak,2.0,0.7,1.0,0.7
5,3005,Proposed Adaptive NSST-BNF,0.2703002805205961,0.1962052660633955,0.1302907814756456,1.0,1.2304391091346032,11.546891908000362,600,1,2888.409123626438,2952.2376633818394,59.78282101438238,-0.608358667984443,-0.0002060669693128,0.0202500028218934,147.09215613958176,454.5756930280773,300,2.169922881850024,-0.0039103960847981,0.7955600201943442,-0.0007910673763251,1.1117510132033148,-3.362112203178344,0.7419215300064681,0.5693770441725383,weak,2.0,0.7,1.0,0.7
