Factor,RMSE,RMSE,MAE,MAE,CRPS,CRPS,Coverage,Coverage,AIW,AIW
,mean,std,mean,std,mean,std,mean,std,mean,std
0.75,0.3631063730291907,0.19307866131022358,0.24142124533612105,0.11781650593688021,0.17924417961696082,0.08898235555447327,0.825,0.11552642194176475,0.7896631127573324,0.2833685186588177
0.85,0.3631063730291907,0.19307866131022358,0.24142124533612117,0.11781650593688017,0.17621488599372004,0.08655146606182391,0.8625,0.09882117688026186,0.8949515277916433,0.32115098781332674
0.95,0.36310637302919063,0.19307866131022358,0.24142124533612117,0.11781650593688016,0.17406055530311304,0.08446086451504081,0.9175,0.06922186552431726,1.0002399428259543,0.3589334569678357
1.0,0.36310637302919074,0.1930786613102235,0.24142124533612125,0.11781650593688009,0.17326786382090925,0.08352710046065316,0.93,0.06584783595532961,1.05288415034311,0.3778246915450902
1.1,0.36310637302919063,0.19307866131022347,0.2414212453361211,0.11781650593688008,0.1721933257993623,0.08184595752239769,0.94,0.06373774391990981,1.1581725653774209,0.4156071606995992
1.2,0.36310637302919063,0.19307866131022353,0.24142124533612108,0.1178165059368802,0.17175274466653798,0.08044579947000924,0.945,0.06332785063987782,1.2634609804117316,0.45338962985410824
1.35,0.36310637302919063,0.19307866131022347,0.24142124533612108,0.11781650593688016,0.17209533094934495,0.07871107287676411,0.96,0.05376453291901642,1.4213936029631984,0.5100633335858719
1.5,0.3631063730291906,0.19307866131022358,0.24142124533612097,0.11781650593688026,0.17354288565057746,0.07747757279787676,0.9775,0.043750000000000025,1.5793262255146647,0.5667370373176353
