Scenario,Model,N,RMSE_mean,RMSE_sd,RMSE_se,RMSE_median,RMSE_iqr,MAE_mean,MAE_sd,MAE_se,MAE_median,MAE_iqr,CRPS_mean,CRPS_sd,CRPS_se,CRPS_median,CRPS_iqr,Coverage_mean,Coverage_sd,Coverage_se,Coverage_median,Coverage_iqr,AIW_mean,AIW_sd,AIW_se,AIW_median,AIW_iqr
3,Sparse Variational GP,40,0.3831364044853254,0.15744707663750426,0.024894568655479923,0.37542012443782946,0.1504733643626293,0.29404062630209354,0.11220892083702569,0.017741788181726423,0.2780224730540487,0.11364804352854846,0.21574203390363617,0.07929331995036187,0.01253737471398065,0.2099699950412237,0.07935950745420028,0.9796875,0.03577076006518488,0.005655853772068867,1.0,0.0625,1.7955791185126195,0.492050695861435,0.07780004615964607,1.723811356959312,0.7012998151103196
3,Stationary Skew-t Neural Model,40,0.3070169215729051,0.12352312662655981,0.019530721192266,0.2797171519651195,0.18374718766751463,0.21235687932913844,0.08666950805211587,0.013703652456549474,0.1989533597416554,0.11139319617409435,0.14932175893433586,0.06343277714632169,0.010029602704612619,0.14223031108325224,0.08458268395517199,0.9125,0.11393317879691249,0.0180144173030723,0.9375,0.125,0.924273504057718,0.25084209363096754,0.03966161744595367,0.8656127757802086,0.3385138023961205
4,Gaussian Neural Model,40,0.5293463160177733,0.442961436999883,0.07003835282704064,0.4254605574863754,0.24763665894159037,0.39257692644736303,0.3547391778902523,0.05608918887144207,0.29527990826004646,0.21490072313280667,0.30031720343625395,0.30880061418139204,0.04882566418360454,0.2084230302139077,0.1435128643800346,0.790625,0.2048832922947561,0.03239489290827277,0.8125,0.1875,1.1369655136387211,0.3466724186540068,0.054813722245305264,1.137010823132205,0.45224799699800644
4,Proposed Adaptive NSST-BNF,40,0.48011135559032825,0.32962237316380527,0.05211787334737932,0.410885345670035,0.2696345770598547,0.3543141087186138,0.28012568036940816,0.04429175905358237,0.2764542068000584,0.21732416399517235,0.25744314659892564,0.21254000850490617,0.03360552603935311,0.1942492741740472,0.1395677283231372,0.925,0.09826214285241655,0.015536608959123541,0.9375,0.078125,1.5934323989889083,0.6476102464921449,0.10239617074891237,1.561437352364869,0.8531804576110833
4,Sparse Variational GP,40,0.4973209819011636,0.2618709424067407,0.04140543155100382,0.46217714528239895,0.29789079274367725,0.37818232777864474,0.19340138982525817,0.0305794447244965,0.3494665680764958,0.2569388727878703,0.2745625596697506,0.1406415846382533,0.022237387059611435,0.24060460486773344,0.16504343411472092,0.9765625,0.044052298100652115,0.006965279908138505,1.0,0.0625,2.233781888957226,1.0520001368785608,0.16633582656725748,2.0193062835643163,1.4330516091839556
4,Stationary Skew-t Neural Model,40,0.5241157666838012,0.4413515291179844,0.0697838040405478,0.42798819415584977,0.2414765826297699,0.3893213005139359,0.35508225400081495,0.05614343396745056,0.2863548965333267,0.20273823579567085,0.2991664396627635,0.31042627164939707,0.04908270319831245,0.21085526685043893,0.1437609532420513,0.7859375,0.2089194479630355,0.03303306515341087,0.8125,0.1875,1.1452441732354146,0.3368739354030886,0.053264446010909634,1.1582411210088415,0.49331007575317165
5,Gaussian Neural Model,40,0.46315022414135987,0.18790506505797067,0.029710399473265328,0.4627840922213319,0.28059867752133577,0.34144392820013464,0.1501766805355047,0.023745018096783498,0.3369837776603059,0.20722174498862472,0.25459768332179217,0.11718581335968686,0.01852870398379995,0.24327433055874995,0.16450469776901502,0.79375,0.12354927388262173,0.019534855436451965,0.8125,0.1875,1.0441091744749982,0.2977110106829735,0.04707224391344584,0.9505446360449679,0.3547113902787815
5,Proposed Adaptive NSST-BNF,40,0.4408743781101007,0.1924597228696497,0.03043055410564453,0.4419742832082719,0.31203824664145585,0.3194970342399684,0.1450614803303521,0.02293623392998136,0.3106680808674215,0.2036862607894742,0.22868842625746222,0.10296424534867857,0.01628007664311111,0.2185556178564689,0.15299231587361517,0.9,0.0846845579723621,0.013389804291861734,0.9375,0.09375,1.4323653330478212,0.5707232431021273,0.09023926809003521,1.2442264303617077,0.7711782612685196
5,Sparse Variational GP,40,0.43551417496735717,0.1572953806049915,0.02487058340674236,0.40295097848395695,0.21380178939272532,0.33385464836507844,0.12710371932172274,0.020096862606769787,0.3111898830242352,0.17042613857569228,0.23774773625244752,0.08678669364639263,0.013722181125893221,0.21803826932716508,0.13022519016756162,0.9828125,0.03463263014142617,0.005475899630455301,1.0,0.0,1.956103151733887,0.6824128588627062,0.10789894692965865,1.8128512724294323,0.8358006294090581
5,Stationary Skew-t Neural Model,40,0.4683385539971597,0.189313597251483,0.02993310796772393,0.46830946319199585,0.2581829085866143,0.3439973081340747,0.15250007906966942,0.02411237966079635,0.332467690683463,0.16817707703667217,0.25653830686332063,0.11876291890139717,0.01877806626491386,0.23732644564586797,0.14109760686741785,0.7921875,0.12041885700252629,0.019039893068104975,0.8125,0.1875,1.0622700486454781,0.29411714862359684,0.04650400442824116,1.019592050973464,0.4523692136388674
