Scenario,Replication,Model,RMSE,MAE,CRPS,Coverage,AIW,FitSeconds,IterationsUsed,EarlyStopped,final_negELBO,tail_negELBO_mean,tail_negELBO_sd,tail_slope,tail_relative_slope,tail_cv,tail_grad_median,tail_grad_p90,tail_n,Alpha_RMSE,Alpha_R2,Delta_RMSE,Delta_R2,Phi_RMSE,Phi_R2,Corr_Frobenius_RelErr,Corr_OffDiag_R,PriorSetting,PriorMultiplier,MeanPriorSD,AlphaPriorSD,RangePriorSD
4,3003,Proposed Adaptive NSST-BNF,0.4881676566517557,0.3488452628207423,0.2374995222641843,1.0,1.3231672926874856,7.248627303999456,600,1,2901.392858884317,2973.49003064972,69.92760988130873,-0.6262947477373413,-0.00021062614681122474,0.023517015076734333,86.35394649298505,537.5942677234145,300,1.4436722873850982,-0.022367222199029202,0.673147146110225,-0.011408738195012535,0.860660441498406,-3.130092877866357,0.7273304906473989,0.6220875823177922,weak,2.0,0.7,1.0,0.7
4,3004,Proposed Adaptive NSST-BNF,0.5502144593579347,0.30196569004298773,0.213525989555236,0.875,1.2338076695678917,7.5520355720000225,600,1,2947.9775219445232,3016.300297475392,65.51689179601975,-0.568501525799566,-0.00018847643461607417,0.021720944645616552,241.02421675762542,943.6870032793846,300,1.403077106028439,-0.21248792843632058,0.6986136944751318,-0.3113094896471662,0.8655629092901598,-3.4483748436476223,0.7241489372476654,0.6100269778076762,weak,2.0,0.7,1.0,0.7
4,3005,Proposed Adaptive NSST-BNF,0.2259003838342896,0.1504614475690019,0.11249002106572335,0.9375,0.7971208071513272,8.224488066000049,700,1,3016.258006572969,3071.419171760507,57.59996973526421,-0.23548485773304592,-7.666972320097496e-05,0.018753535910973836,608.9617782983762,2849.775348971293,300,1.4926847337685518,-0.01481507749418487,0.7227843674362279,-0.05665641786772557,0.8445958539498808,-3.5682277642723976,0.6803480503678937,0.6626397414950411,weak,2.0,0.7,1.0,0.7
5,3001,Proposed Adaptive NSST-BNF,0.7017395333096647,0.561886429034558,0.402853812180201,0.75,2.257021399273812,9.84361691400045,800,1,2376.463348041578,2417.740264191446,38.70856831864678,-0.27068302738509065,-0.00011195703334808541,0.016010226115662555,110.28754304006866,528.19072482328,300,1.765290854115049,-0.03092627974853479,0.7174374988471586,-0.05071650786575255,1.1765216676739976,-4.233477770926739,0.8027552340889701,0.560158209998146,baseline,1.0,0.35,0.5,0.35
5,3002,Proposed Adaptive NSST-BNF,0.38927403627488133,0.35124424651641567,0.22765873675831244,1.0,1.6214625243267045,10.26309734499955,800,1,2165.5848822430016,2188.308419074311,33.431248293795385,-0.2419900607032802,-0.00011058316030500201,0.01527721047106208,69.63484056449039,263.4001412420307,300,1.8010251763168887,-7.281039706352743e-05,0.7399059530159732,-0.022543115021187887,1.2572066536077187,-4.417212422752401,0.8070934141251676,0.47755446034805366,baseline,1.0,0.35,0.5,0.35
5,3003,Proposed Adaptive NSST-BNF,1.1304383179423652,0.7940792206489452,0.6081452353593384,0.6875,2.340364683230184,9.585491186000581,800,1,2456.0062192505256,2492.4121644511984,54.53675203134172,-0.3501579403540571,-0.00014048958087602574,0.021881112927143048,315.6713200856875,1185.832441263367,300,1.915780532834621,-0.06130930886097352,0.7553168323159879,-0.06954806814714187,1.2667218833671985,-5.77146810872035,0.8344861520424609,0.36659785272109385,baseline,1.0,0.35,0.5,0.35
5,3004,Proposed Adaptive NSST-BNF,0.2039299700515437,0.12846119715787396,0.09357042622078224,0.9375,0.5178951852307525,10.015485981000893,800,1,2394.2397743728934,2431.053606792637,41.772152049891226,-0.22331743900926299,-9.186035157155272e-05,0.01718273588586246,383.84402151721827,1562.4116826425043,300,1.8732369252331373,-0.05082785833860459,0.7198006414781984,-0.030243656961634002,1.1651831102985646,-4.68123662841178,0.7414173329964173,0.5865976459132632,baseline,1.0,0.35,0.5,0.35
5,3005,Proposed Adaptive NSST-BNF,0.2088915018169812,0.14337005579675835,0.09776522759553254,1.0,1.0484737732862586,9.592855989001691,800,1,2131.2701399864113,2160.929971177613,25.314560736851593,-0.26291065167377925,-0.00012166551215470636,0.011714660389043632,94.3971169512446,262.3294341722899,300,2.1677749330113185,-0.001923891465978711,0.7977021363689238,-0.006187761224506483,1.114789862189776,-3.385991501195698,0.7476649321832649,0.5661728563166648,baseline,1.0,0.35,0.5,0.35
5,3001,Proposed Adaptive NSST-BNF,0.7119556587469434,0.5668808350301205,0.4125130516148168,0.6875,2.280971738600021,9.060680180000418,900,1,2114.229448006434,2153.0262009467992,44.21944808948728,-0.26725315976201336,-0.00012412907917446056,0.020538276807798083,234.51236708434453,583.7335745968843,300,1.7857515272539757,-0.05496275826633723,0.7460758849942085,-0.13627490690719246,1.1777213332721441,-4.244156068450058,0.8049181611744517,0.5582759465325425,strong,0.5,0.175,0.25,0.175
5,3002,Proposed Adaptive NSST-BNF,0.39314824864018044,0.35271615673489753,0.22476953369533756,1.0,1.7452402562153708,9.422084344998439,900,1,1429.8986974418438,1440.3198687596312,27.543455196781927,-0.14426219806085572,-0.000100159833374437,0.019123151595833828,95.20526109943285,272.53963563053674,300,1.8031490668686438,-0.002432908001255729,0.7317333998027357,-7.908165085246388e-05,1.2612213230935372,-4.451865503966348,0.8134287133995864,0.47264367528050716,strong,0.5,0.175,0.25,0.175
5,3003,Proposed Adaptive NSST-BNF,1.2002567964731228,0.8627822013226478,0.6167410433265883,0.8125,2.8997817104207497,9.766412398999819,1000,0,2065.831518909897,2136.443465291044,86.3040369154099,-0.13822959242642693,-6.470079581890368e-05,0.040396124829660686,323.9360343809934,1590.372967582494,300,1.897290078752162,-0.0409213904923833,0.7383742988869715,-0.022104085870140455,1.2795756694038511,-5.909589361833168,0.8546142222492493,0.40370183102917767,strong,0.5,0.175,0.25,0.175
5,3004,Proposed Adaptive NSST-BNF,0.1930043392999689,0.13306262390849574,0.0921840158630698,1.0,0.6352203180426369,8.121033568000712,800,1,2049.1287000865923,2109.533087037784,53.86002266567146,-0.5334093146361121,-0.00025285657661104887,0.02553172690043081,246.13883241373472,552.609988656104,300,1.8740879201366576,-0.051782838741350146,0.7204700175897464,-0.03216069095238061,1.1767248427610681,-4.794345154058176,0.7611521510959102,0.5758891836491129,strong,0.5,0.175,0.25,0.175
5,3005,Proposed Adaptive NSST-BNF,0.18471017501251571,0.13165429792046487,0.0919222528791603,1.0,1.0761201229432475,9.407585896000455,900,1,1577.8766441591138,1578.9597890573561,21.43318562697071,-0.20111310862839352,-0.00012737063351591653,0.013574244116606907,158.31473138843683,245.3718143802934,300,2.1692087216839706,-0.0032496953380452,0.795981382420226,-0.001851470651961451,1.1066970516859507,-3.3225424846155347,0.7322995551934612,0.574494462380557,strong,0.5,0.175,0.25,0.175
5,3001,Proposed Adaptive NSST-BNF,0.739820106181683,0.5611005473373387,0.4118025530661992,0.6875,1.976928220583244,6.713809356999263,600,1,3008.279531890565,3091.139121759105,78.80694825307464,-0.7102735957421759,-0.00022977729819483934,0.02549446826845735,139.5008326501741,762.2949788004103,300,1.754169439281927,-0.017977430390630822,0.7050555455045275,-0.014761720464729455,1.172595996666317,-4.198611203372276,0.7958765323370307,0.5666607680192656,weak,2.0,0.7,1.0,0.7
5,3002,Proposed Adaptive NSST-BNF,0.3888029008015906,0.34972747052317826,0.2270335367160393,1.0,1.559998044782981,7.064558758000203,700,1,2922.5476245580644,2951.8731073379563,38.33459090856855,-0.27045669662519006,-9.162206056651667e-05,0.012986530760171887,70.21463076990841,356.80267870970584,300,1.8031820706545123,-0.0024696042283474107,0.7317283552146266,-6.529255866505324e-05,1.2560419037495203,-4.407179426909484,0.8049648219827984,0.4778989882328903,weak,2.0,0.7,1.0,0.7
5,3003,Proposed Adaptive NSST-BNF,1.1304299216863603,0.7936122624233506,0.6273911156926949,0.625,2.5745225588966374,7.66225838399987,800,1,3028.507870569426,3045.518492165859,29.992020615889018,-0.21889217382122075,-7.187353299094657e-05,0.009847919391407079,386.17416058646717,1054.844665380478,300,1.914201420736773,-0.05956042830164532,0.7536715185307684,-0.06489352988248664,1.2396011155218776,-5.484615164801437,0.8257245953961909,0.34854120941015304,weak,2.0,0.7,1.0,0.7
5,3004,Proposed Adaptive NSST-BNF,0.20942911096834263,0.13900855212780416,0.09566629043077407,0.9375,0.5257429056159892,5.831122769999638,600,1,3068.2968337472616,3095.0869995454386,72.83805051268918,-0.4805879315326702,-0.0001552744499922787,0.0235334420400417,695.6914622570503,3260.3330801391826,300,1.8788423842102226,-0.05712624539664213,0.7244540171935674,-0.04360737755109523,1.1491757651151244,-4.526210632268838,0.713375763539271,0.5992456448910922,weak,2.0,0.7,1.0,0.7
5,3005,Proposed Adaptive NSST-BNF,0.2703003211857266,0.1961990451735569,0.12954468867871188,1.0,0.9843861869593103,5.6146130739998625,600,1,2888.4332219194584,2952.2428400141807,59.77903414981428,-0.6082867293438826,-0.00020604224052956315,0.020248684606692827,147.09431967784724,454.5660268903693,300,2.167363841323189,-0.001543922564750666,0.7985331307370139,-0.008285215502248366,1.1060123923632712,-3.3171958478536174,0.7309933476750402,0.5751799392088565,weak,2.0,0.7,1.0,0.7
