Scenario,Replication,Factor,RMSE,MAE,CRPS,Coverage,AIW
1,2001,0.75,0.30857409722654044,0.17592102886057143,0.13131881728344583,0.875,0.6754423258644109
1,2001,0.85,0.30857409722654167,0.17592102886057237,0.12990318218788172,0.875,0.7655013026463322
1,2001,0.95,0.3085740972265411,0.17592102886057182,0.12902052712705775,1.0,0.8555602794282536
1,2001,1.0,0.3085740972265412,0.17592102886057198,0.1287477917353126,1.0,0.9005897678192145
1,2001,1.1,0.30857409722654067,0.17592102886057145,0.12879704914903298,1.0,0.9906487446011362
1,2001,1.2,0.30857409722654083,0.1759210288605717,0.12928556642106648,1.0,1.0807077213830574
1,2001,1.35,0.308574097226541,0.17592102886057193,0.13082163117485507,1.0,1.2157961865559397
1,2001,1.5,0.30857409722654056,0.17592102886057143,0.1332146472329001,1.0,1.3508846517288218
1,2002,0.75,0.4591891047435433,0.32214824655552404,0.22489521947090632,0.875,0.9580503255251172
1,2002,0.85,0.4591891047435437,0.32214824655552415,0.2182012218463899,0.875,1.0857903689284663
1,2002,0.95,0.45918910474354346,0.3221482465555241,0.21303502646225447,0.9375,1.213530412331815
1,2002,1.0,0.4591891047435438,0.32214824655552354,0.21106550675262142,0.9375,1.2774004340334897
1,2002,1.1,0.45918910474354363,0.32214824655552365,0.20802922278061226,1.0,1.4051404774368388
1,2002,1.2,0.45918910474354335,0.32214824655552377,0.2060703013740568,1.0,1.5328805208401874
1,2002,1.35,0.45918910474354335,0.32214824655552365,0.2052765187500793,1.0,1.7244905859452109
1,2002,1.5,0.4591891047435433,0.3221482465555235,0.20662911185947103,1.0,1.9161006510502345
1,2003,0.75,0.3342628986140495,0.26025356842951397,0.17058579792243667,0.875,0.8952045689336603
1,2003,0.85,0.334262898614049,0.2602535684295135,0.1665778062291852,0.9375,1.014565178124815
1,2003,0.95,0.3342628986140495,0.2602535684295141,0.16379279010216136,1.0,1.1339257873159698
1,2003,1.0,0.3342628986140493,0.2602535684295139,0.16279664275860245,1.0,1.1936060919115472
1,2003,1.1,0.33426289861404923,0.2602535684295135,0.16167409570177332,1.0,1.312966701102702
1,2003,1.2,0.3342628986140488,0.2602535684295132,0.1614232215031735,1.0,1.4323273102938563
1,2003,1.35,0.33426289861404945,0.2602535684295139,0.16228670152975627,1.0,1.6113682240805889
1,2003,1.5,0.334262898614049,0.2602535684295135,0.16450185249841937,1.0,1.7904091378673206
1,2004,0.75,0.3525983030628897,0.2667467831089814,0.19092578213201322,0.6875,0.6516548487225229
1,2004,0.85,0.3525983030628895,0.26674678310898103,0.18495093361464543,0.9375,0.7385421618855259
1,2004,0.95,0.3525983030628893,0.26674678310898114,0.18000399002242903,0.9375,0.8254294750485289
1,2004,1.0,0.35259830306288914,0.26674678310898087,0.17794560783457447,1.0,0.8688731316300307
1,2004,1.1,0.3525983030628891,0.2667467831089811,0.1744653419940531,1.0,0.9557604447930337
1,2004,1.2,0.35259830306288936,0.2667467831089816,0.171766909444674,1.0,1.0426477579560367
1,2004,1.35,0.3525983030628894,0.26674678310898153,0.16921429521750125,1.0,1.1729787277005412
1,2004,1.5,0.35259830306288936,0.26674678310898126,0.16826323682890043,1.0,1.3033096974450458
1,2005,0.75,0.17151080528375726,0.1117189918116732,0.08448048588868984,0.8125,0.5892272490398651
1,2005,0.85,0.17151080528375742,0.11171899181167363,0.08424939184937852,0.875,0.6677908822451802
1,2005,0.95,0.17151080528375715,0.11171899181167341,0.08444047394578084,0.9375,0.7463545154504956
1,2005,1.0,0.17151080528375712,0.11171899181167355,0.08465846949051889,0.9375,0.7856363320531534
1,2005,1.1,0.17151080528375715,0.1117189918116735,0.08542093300673183,1.0,0.8641999652584688
1,2005,1.2,0.17151080528375695,0.11171899181167348,0.08658490884799847,1.0,0.9427635984637839
1,2005,1.35,0.17151080528375715,0.11171899181167348,0.08895271526041401,1.0,1.060609048271757
1,2005,1.5,0.17151080528375698,0.11171899181167336,0.09202602675141267,1.0,1.1784544980797298
2,2001,0.75,0.11907783826474819,0.09239755615101342,0.062450530431223686,0.9375,0.3662199199588218
2,2001,0.85,0.11907783826474799,0.09239755615101333,0.06151683458553327,0.9375,0.415049242619998
2,2001,0.95,0.11907783826474826,0.09239755615101425,0.06104604762413629,0.9375,0.46387856528117416
2,2001,1.0,0.11907783826474815,0.09239755615101361,0.060987137046000776,1.0,0.4882932266117623
2,2001,1.1,0.11907783826474806,0.09239755615101362,0.061162275090276955,1.0,0.5371225492729386
2,2001,1.2,0.11907783826474788,0.09239755615101361,0.061631956418714544,1.0,0.5859518719341147
2,2001,1.35,0.11907783826474828,0.09239755615101394,0.06279608899846281,1.0,0.659195855925879
2,2001,1.5,0.11907783826474785,0.09239755615101286,0.06439961176037148,1.0,0.7324398399176434
2,2002,0.75,0.29189950588487845,0.18795568285616263,0.13603792479691396,0.875,0.7645460505631955
2,2002,0.85,0.29189950588487845,0.187955682856163,0.13471601001301153,0.875,0.8664855239716214
2,2002,0.95,0.2918995058848782,0.18795568285616204,0.13411698858023646,1.0,0.9684249973800475
2,2002,1.0,0.2918995058848788,0.18795568285616346,0.1340299846019452,1.0,1.0193947340842606
2,2002,1.1,0.2918995058848784,0.1879556828561625,0.1342764733545414,1.0,1.1213342074926866
2,2002,1.2,0.2918995058848784,0.18795568285616238,0.13525491481918034,1.0,1.2232736809011127
2,2002,1.35,0.29189950588487823,0.18795568285616227,0.13768984116190905,1.0,1.3761828910137517
2,2002,1.5,0.29189950588487856,0.18795568285616254,0.1410407210909463,1.0,1.5290921011263907
2,2003,0.75,0.6643761409611996,0.4086319782102766,0.3179492904314647,0.8125,1.0559093426399655
2,2003,0.85,0.6643761409611987,0.4086319782102765,0.31157374422066647,0.8125,1.196697254991961
2,2003,0.95,0.6643761409611991,0.4086319782102769,0.3063810178322012,0.8125,1.337485167343956
2,2003,1.0,0.6643761409611995,0.40863197821027686,0.3042024776322084,0.8125,1.4078791235199541
2,2003,1.1,0.6643761409611986,0.4086319782102763,0.3003550638022756,0.875,1.5486670358719494
2,2003,1.2,0.6643761409611986,0.40863197821027625,0.2973965116256139,0.9375,1.6894549482239447
2,2003,1.35,0.6643761409611989,0.40863197821027664,0.29422782332348685,1.0,1.900636816751938
2,2003,1.5,0.6643761409611981,0.40863197821027625,0.29266617596824096,1.0,2.111818685279931
2,2004,0.75,0.19905876881154821,0.14860623487425348,0.1114944462559408,0.875,0.5417516969987999
2,2004,0.85,0.1990587688115483,0.14860623487425356,0.11054680471278469,0.875,0.6139852565986399
2,2004,0.95,0.199058768811548,0.14860623487425353,0.11015280553387927,0.9375,0.6862188161984798
2,2004,1.0,0.19905876881154846,0.14860623487425384,0.11009377272677122,0.9375,0.7223355959983999
2,2004,1.1,0.19905876881154877,0.14860623487425387,0.11022463813139884,0.9375,0.7945691555982399
2,2004,1.2,0.19905876881154896,0.14860623487425403,0.11071094680082627,0.9375,0.8668027151980799
2,2004,1.35,0.19905876881154888,0.14860623487425428,0.11207495497806276,0.9375,0.97515305459784
