Scenario,Replication,Model,RMSE,MAE,CRPS,Coverage,AIW,FitSeconds,IterationsUsed,EarlyStopped,final_negELBO,tail_negELBO_mean,tail_negELBO_sd,tail_slope,tail_relative_slope,tail_cv,tail_grad_median,tail_grad_p90,tail_n,Alpha_RMSE,Alpha_R2,Delta_RMSE,Delta_R2,Phi_RMSE,Phi_R2,Corr_Frobenius_RelErr,Corr_OffDiag_R
1,1001,Gaussian Neural Model,0.33745278882546936,0.1647432204911975,0.11380941750344464,1.0,0.9231263079784675,3.602528250999967,600,1,1583.9512477236503,1598.7840426107368,24.58623573264843,-0.13996586790971458,-8.754519946368555e-05,0.015378084267403797,142.52573770540164,435.40184569041924,300,,,,,,,,
1,1001,Proposed Adaptive NSST-BNF,0.17686395817412245,0.10118083991898319,0.07963475357942516,1.0,1.200333758430835,11.504016357001092,800,1,2134.51812067531,2167.775206232793,28.522376537483193,-0.26920890727725005,-0.00012418672678939208,0.013157441996511247,105.07595560640627,246.97574141576672,300,,,,,,,,
1,1001,Sparse Variational GP,0.2084555341832036,0.1236053346390813,0.1283933935272571,1.0,1.65930007662315,2.4808629819999624,900,1,60.22745283598864,61.31292648650083,1.0036864294900545,-0.0111207145059985,-0.0001813763449775,0.0163698992529906,3.698558804760929,6.749708659250396,300,,,,,,,,
1,1001,Stationary Skew-t Neural Model,0.34903245817661416,0.17040098880666157,0.11642794727371183,1.0,0.983778170286358,5.597853137000129,600,1,1579.893078464266,1593.9992669691242,16.285057056005527,-0.13240757916355797,-8.306627355941101e-05,0.010216477129861165,127.19378382728567,412.6961455854174,300,,,,,,,,
1,1002,Gaussian Neural Model,0.10748710873385518,0.08793858968137676,0.06836186940305407,1.0,0.8274428621483814,3.1388404150002316,500,1,1592.35620807272,1625.4216721046619,32.67137094745605,-0.2913466305929312,-0.00017924372216329785,0.020100243221903038,222.97947252097433,1163.8486997373957,300,,,,,,,,
1,1002,Proposed Adaptive NSST-BNF,0.07581391525995824,0.060864924066717604,0.06635266703897089,1.0,0.9291041588330422,10.813251977999244,800,1,2184.249586629615,2213.361469801515,26.89815478293992,-0.2514175152051022,-0.00011359080684984012,0.012152626288082996,127.41312191962741,608.2765455679261,300,,,,,,,,
1,1002,Sparse Variational GP,0.263017750314362,0.198994293091526,0.1495015962112031,1.0,1.6481736336691646,2.645074831999977,900,1,66.0932803392829,66.73204659104957,0.5383534340766039,-0.0060628280175147,-9.085332051434254e-05,0.008067389831092,2.592478708615645,3.060558297567859,300,,,,,,,,
1,1002,Stationary Skew-t Neural Model,0.10691235007391861,0.08825221180324336,0.07030914489459228,1.0,0.8492250697203839,5.320276520000334,600,0,1609.3315212927535,1627.0298356492772,53.08305162881971,-0.11519415623985108,-7.080027281360947e-05,0.03262573953208211,207.51257271944925,1407.245188973637,300,,,,,,,,
1,1003,Gaussian Neural Model,0.49698552517601824,0.2567944387132139,0.19526058384750433,0.875,1.2005758309295982,2.7652908919990296,500,1,1828.200731802414,1856.6710510864389,47.04559592275267,-0.2647997859440031,-0.00014262073283743734,0.025338681235549894,746.6353536719462,3312.0908105816,300,,,,,,,,
1,1003,Proposed Adaptive NSST-BNF,0.45585441149614575,0.2407103659092782,0.1735895245157223,0.9375,1.2826577125743377,10.036998065999796,800,1,2435.563610470425,2472.0746810394626,32.075547617442,-0.20704927326905773,-8.37552663182478e-05,0.012975153163234858,546.140109119326,2283.1784807859804,300,,,,,,,,
