Scenario,PriorSetting,N,RMSE_mean,RMSE_sd,RMSE_se,RMSE_median,RMSE_iqr,MAE_mean,MAE_sd,MAE_se,MAE_median,MAE_iqr,CRPS_mean,CRPS_sd,CRPS_se,CRPS_median,CRPS_iqr,Coverage_mean,Coverage_sd,Coverage_se,Coverage_median,Coverage_iqr,AIW_mean,AIW_sd,AIW_se,AIW_median,AIW_iqr
4,baseline,5,0.33030945794206634,0.17454696649069468,0.07805977646791423,0.3210035932727987,0.2753841191207719,0.21555017589230813,0.10927154324104423,0.048867719738656515,0.20820044671213614,0.13403078228520926,0.15448070226386398,0.06726903466650623,0.030083626859019563,0.15622941477541624,0.08176745186278214,0.95,0.02795084971874737,0.012499999999999999,0.9375,0.0,1.1608882573157648,0.25720132182526917,0.11502392790082043,1.2358534697079082,0.13526178947057388
4,strong,5,0.313654142059996,0.16949178777895482,0.07579903182034221,0.2783977997250399,0.2197353173951353,0.2195105643050379,0.11059620369148605,0.049460125901515196,0.20029722487994175,0.12681035705165566,0.1499968553859416,0.0692503436682027,0.03096969518146467,0.14481743070356842,0.06275500870564235,0.9875,0.02795084971874737,0.012499999999999999,1.0,0.0,1.2774364182401008,0.2949609674754006,0.13191055479682007,1.4066572055926168,0.19975933769659404
4,weak,5,0.35380949855497357,0.17248961846717117,0.07713970246111956,0.36518328437550346,0.2622672728174661,0.22661194192883705,0.10003759840176399,0.04473817406643372,0.221744320057023,0.15150424247398583,0.1655501253032706,0.06428954521302936,0.02875115866777597,0.17685753983450883,0.10103596848951264,0.9375,0.0625,0.02795084971874737,0.9375,0.125,1.134169791495108,0.20709330096656656,0.09261493972921314,1.2329715757408888,0.15002605723994544
5,baseline,5,0.5268546718790872,0.3934486321021594,0.17595557740694687,0.38927403627488133,0.4928480314926834,0.39580822983091024,0.2843357023728882,0.12715879178718525,0.35124424651641567,0.41851637323779967,0.2859986876228333,0.21982808025864584,0.09831010616432233,0.22765873675831244,0.3050885845846685,0.875,0.14657549249448218,0.06555055301063448,0.9375,0.25,1.5570435130695424,0.7820139597989244,0.34972727469283654,1.6214625243267045,1.2085476259875536
5,strong,5,0.5366150436345463,0.4282676678719164,0.19152712358538154,0.39314824864018044,0.5189513194469746,0.40941922298332534,0.3110762408825337,0.1391175241596889,0.35271615673489753,0.4338182111216248,0.2876259794757946,0.22603204892322723,0.10108460529717885,0.22476953369533756,0.320329035751747,0.9,0.14388580541526672,0.06434768838116875,1.0,0.1875,1.727466829244405,0.9080557159470404,0.4060948616429644,1.7452402562153708,1.2048516156567732
5,weak,5,0.5477564721647407,0.3850682878362372,0.17220777351625635,0.3888029008015906,0.4695197849959564,0.4079295755170458,0.2705310984497018,0.12098518523224423,0.34972747052317826,0.3649015021637818,0.29828763691688387,0.22124730244576618,0.09894480162143773,0.2270335367160393,0.2822578643874873,0.85,0.18006075363609916,0.08052561704203202,0.9375,0.3125,1.5243155833676325,0.8058748778079092,0.3603982016275643,1.559998044782981,0.9925420336239336
