Scenario,N,Alpha_RMSE_mean,Alpha_RMSE_sd,Alpha_R2_mean,Alpha_R2_sd,Delta_RMSE_mean,Delta_RMSE_sd,Delta_R2_mean,Delta_R2_sd,Phi_RMSE_mean,Phi_RMSE_sd,Phi_R2_mean,Phi_R2_sd,Corr_Frobenius_RelErr_mean,Corr_Frobenius_RelErr_sd,Corr_OffDiag_R_mean,Corr_OffDiag_R_sd
4,40,1.4762155836371549,0.08715645730324482,-0.019695943006376247,0.024795939451629462,0.6879552369153938,0.026738744166734635,-0.019050592263095932,0.02433327961633857,0.9215383245703936,0.050724144973902034,-4.066133560535709,0.8209937667112522,0.7660705365500617,0.045463612039955435,0.5809510160185598,0.04035326780184697
5,40,1.9851352220622451,0.12275750594349717,-0.018473402568589512,0.026411373657723253,0.7506699916289961,0.028518769303225826,-0.02283882545335185,0.0324322388341731,1.1302596681364734,0.058310000103393766,-3.9479181256128455,0.6410737631232215,0.7724228780278708,0.043876397383727284,0.5279273960877834,0.03642379265521936
