Scenario,N,Iterations_mean,Iterations_sd,EarlyStop_rate,Terminal_ELBO_CV_mean,Terminal_ELBO_CV_sd,Terminal_rel_slope_mean
1,40,775.0,63.04251719561152,1.0,0.01527195947108751,0.006017527036400534,-0.0001241801738183253
2,40,770.0,72.3240570679579,1.0,0.0171897844403176,0.007959001613208064,-0.00013106461679869395
3,40,787.5,51.577673563824206,1.0,0.014572745505037649,0.004543558115047298,-0.00011379247808620688
4,40,785.0,76.96152885095853,0.975,0.020766439523871288,0.010901430030177206,-0.00012249733223603198
5,40,790.0,90.01424388708769,0.975,0.01944977568231619,0.007079029682396018,-0.0001134420345831914
